JP_Name,CN_Name,Padding
ＭＳ ゴシック,simhei,00
■■ システム情報 ■■,■■ 系统信息 ■■,20
Eメールでサポートを受ける時は、このファイルを添付してください。,使用E-Mail联络客户服务人员时，请附上此文件。,20
(%02d)全物理メモリ : %d MB,总物理内存 : %d MB,20
(%02d)空き物理メモリ : %d MB,未使用物理内存 : %d MB,20
(%02d)全仮想メモリ : %d MB,总虚拟内存 : %d MB,20
(%02d)空き仮想メモリ : %d MB,未使用虚拟内存 : %d MB,20
画面モードを選択してください,请选择显示模式,00
フルスクリーン,全屏模式,00
ウィンドウ,窗口模式,00
%s を終了してよろしいですか？,确定要结束%s吗？,00
終了,结束,00
タイトル画面に戻る,返回标题画面,00
タイトル画面に戻ってよろしいですか？,确定要返回标题画面吗？,00
ゲームタイトル,游戏标题,00
ゲームバージョン,游戏版本,00
システムバージョン,系统版本,00
ＰＣメーカー名,PC制造商,00
ＰＣモデル名,PC型号,00
ＯＳ,OS,00
ＣＰＵメーカー,CPU制造商,00
ＣＰＵクロック(測定値),CPU速度,00
空きメモリ／全メモリ,未使用内存／总内存,00
ビデオカード,显卡,00
ビデオドライババージョン,显卡驱动程序版本,00
画面解像度,画面分辨率,00
画面色数,画面色数,00
32bit フルカラー,32bit全彩色,00
24bit フルカラー,24bit全彩色,00
16bit ハイカラー,16bit高彩色,00
8bit インデックスカラー,8bit索引颜色,00
DirectX バージョン,DirectX 版本,00
システム環境設定,系统设定,00
テキストファイル(*.txt),文本文件(*.txt),20
全てのファイル(*.*),所有文件(*.*),20
環境情報の保存先,系统信息保存路径,00
設定無し,未设定,00
ゲーム環境設定,游戏设定,00
←(カーソルキー),方向键←,00
↑(カーソルキー),方向键↑,00
→(カーソルキー),方向键→,00
↓(カーソルキー),方向键↓,00
0 (テンキー),0 (Numpad),00
1 (テンキー),1 (Numpad),00
2 (テンキー),2 (Numpad),00
3 (テンキー),3 (Numpad),00
4 (テンキー),4 (Numpad),00
5 (テンキー),5 (Numpad),00
6 (テンキー),6 (Numpad),00
7 (テンキー),7 (Numpad),00
8 (テンキー),8 (Numpad),00
9 (テンキー),9 (Numpad),00
*(テンキー),* (Numpad),00
+(テンキー),= (Numpad),00
-(テンキー),- (Numpad),00
.(テンキー),. (Numpad),00
/(テンキー),/ (Numpad),00
- (キーボード),-,00
. (キーボード),.,00
/ (キーボード),/,00
＼ (キーボード),_,00
左クリック,鼠标左键,00
中クリック,鼠标中键,00
右クリック,鼠标右键,00
X1クリック,鼠标按键4,00
X2クリック,鼠标按键5,00
ホイールアップ,滚轮上滚,00
ホイールダウン,滚轮下滚,00
キーボード,键盘,00
マウス,鼠标,00
ジョイパッド,游戏手柄,00
