暁	晓	player's first name,boy
星月	星月	player's last name
そら	空	player's sister
都	都	girl
鈴	铃	芽上 鈴's first name,girl
芽上	芽上	芽上 鈴's last name,girl
圭	圭	花鶏塚 圭's first name,girl
花鶏塚	花鸡冢	花鶏塚 圭's last name,girl
れもん	柠檬	羽桐れもん's first name,boy
羽桐	羽桐	羽桐れもん's last name,boy
夜霧	夜雾	久千房夜霧's first name,girl
久千房	久千房	久千房夜霧's last name,girl
暁お兄ちゃん	晓哥哥
かなちゃん	佳奈酱
よぎちゃん	夜雾酱
くぅちゃん	久酱
くうちゃん	久酱
けーちゃん	圭酱
けちゃん	圭酱
そらちゃん	空酱
にーちゃ	哥哥
ちゃん	酱	nick name
ご一行様	一行人士
お嬢様グループ	大小姐团
烏骨鶏	乌骨鸡
親友	好友
エムズ	M's
チュッパチョプス	棒棒糖
ドリームハウス	梦幻之家
ボロ家	破旧房子
全裸さん	全裸女士
チビ	小不点
クッチー	久亲
みやちゃん	都酱
ぺろ	嘶溜
ちゅぷる	啾噗噜
ちゅる	啾噜
ちゅぷ	啾噗
ちゅう	啾呜
んちゅ	嗯啾
ちゅ	啾
ぺる	嘶噜
れろ	溜噜
はむっ	哈姆
はむ	哈姆
ひゃうっ	噫呜
ひゃう	噫呜
じゅぷ	嗞噗
じゅるっ	嗞噜
じゅる	嗞噜
ズズッ	嗞嗞
ズッ	嗞
んれろ	嗯溜噜
んちゅる	嗯啾噜
ちんぽ	鸡巴
おちんちん	大鸡鸡/鸡鸡
おちんぽ	大鸡巴/鸡巴
だんちょ	团长
オチンポ	肉棒/鸡巴
おまんこ	小穴/阴道
バイブ	振动棒
おしり	屁股
お尻	屁股
オチ○ポ	大鸡巴
膣	阴道
ご主人様	主人
ペニス	阴茎
おち○ぽ	大鸡巴/鸡巴
ち○ぽ	鸡巴
ちんぽ	鸡巴
竿	肉棒
肉棒	肉棒
ち○こ	鸡巴
ちんこ	鸡巴
マラ	阴茎
男根	阳具
